Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Hakim Ziyech Ajax, 25, M(CR)",180,65,28,2404,7,11,2,-,4.4,76,0.5,6,7.82,"Hakim Ziyech Ajax, 25, M(CR)",180,65,28,2404,1.8,0.9,1.1,-,0.4,1.7,-,-,7.82,"Hakim Ziyech Ajax, 25, M(CR)",180,65,28,2404,7,11,4.4,3.8,1.8,1.8,0.2,2.2,2.2,7.82,"Hakim Ziyech Ajax, 25, M(CR)",180,65,28,2404,11,3.8,49.4,76,2,2.8,0.4,7.82
"Lasse Schöne Ajax, 32, M(CLR)",177,78,26(1),2216,7,4,3,-,1.9,83.6,1.2,3,7.73,"Lasse Schöne Ajax, 32, M(CLR)",177,78,26(1),2216,2.2,2.8,0.9,0.1,1.9,1.2,0.3,-,7.73,"Lasse Schöne Ajax, 32, M(CLR)",177,78,26(1),2216,7,4,1.9,2.4,1,1.1,-,0.9,1,7.73,"Lasse Schöne Ajax, 32, M(CLR)",177,78,26(1),2216,4,2.4,56.6,83.6,0.8,2.3,-,7.73
"Joël Veltman Ajax, 26, D(CR)",184,75,30,2694,-,3,6,1,0.4,84.6,1.9,1,7.7,"Joël Veltman Ajax, 26, D(CR)",184,75,30,2694,4.4,2.7,1.7,0.2,3.8,1.4,0.3,-,7.7,"Joël Veltman Ajax, 26, D(CR)",184,75,30,2694,-,3,0.4,0.9,1,1.6,-,0.5,1,7.7,"Joël Veltman Ajax, 26, D(CR)",184,75,30,2694,3,0.9,61.6,84.6,0.5,6.3,0.2,7.7
"Nemanja Gudelj Ajax, 26, M(C)",187,87,5(1),459,2,1,-,-,3.8,89.2,0.5,1,7.62,"Nemanja Gudelj Ajax, 26, M(C)",187,87,5(1),459,1.3,1.3,0.7,-,1.3,-,-,1,7.62,"Nemanja Gudelj Ajax, 26, M(C)",187,87,5(1),459,2,1,3.8,2,1.3,0.5,0.3,1.7,1.7,7.62,"Nemanja Gudelj Ajax, 26, M(C)",187,87,5(1),459,1,2,41.5,89.2,2,2.5,-,7.62
"David Neres Ajax, 21, AM(R)",175,66,5(3),498,3,1,1,-,3,84.2,0.4,1,7.6,"David Neres Ajax, 21, AM(R)",175,66,5(3),498,0.6,0.5,1.3,-,-,1,0.3,-,7.6,"David Neres Ajax, 21, AM(R)",175,66,5(3),498,3,1,3,1.8,2.8,0.9,0.1,1.1,1.9,7.6,"David Neres Ajax, 21, AM(R)",175,66,5(3),498,1,1.8,22.1,84.2,0.6,0.3,0.3,7.6
"Bertrand Traoré Ajax, 23, AM(R),FW",181,73,22(2),1797,9,-,4,-,3.5,80.2,0.9,3,7.49,"Bertrand Traoré Ajax, 23, AM(R),FW",181,73,22(2),1797,1,0.8,0.8,-,0.2,0.4,-,-,7.49,"Bertrand Traoré Ajax, 23, AM(R),FW",181,73,22(2),1797,9,-,3.5,1,3,1.4,0.4,2,2.9,7.49,"Bertrand Traoré Ajax, 23, AM(R),FW",181,73,22(2),1797,-,1,33.3,80.2,-,1,-,7.49
"Amin Younes Ajax, 25, AM(CL)",168,67,28(1),2371,3,6,3,-,2.1,81.7,0.1,4,7.43,"Amin Younes Ajax, 25, AM(CL)",168,67,28(1),2371,1.2,0.4,0.8,-,-,0.4,-,-,7.43,"Amin Younes Ajax, 25, AM(CL)",168,67,28(1),2371,3,6,2.1,1.8,3.4,1,0.1,1.8,1.7,7.43,"Amin Younes Ajax, 25, AM(CL)",168,67,28(1),2371,6,1.8,30.2,81.7,0.3,1.1,0.1,7.43
"Kasper Dolberg Ajax, 20, FW",187,83,26(3),2158,16,6,1,-,2.9,73.3,0.9,5,7.41,"Kasper Dolberg Ajax, 20, FW",187,83,26(3),2158,0.3,0.1,1.4,-,0.1,0.2,-,-,7.41,"Kasper Dolberg Ajax, 20, FW",187,83,26(3),2158,16,6,2.9,1,1.8,2.2,0.5,2,3,7.41,"Kasper Dolberg Ajax, 20, FW",187,83,26(3),2158,6,1,17.2,73.3,0.1,0.1,0.1,7.41
"Davy Klaassen Ajax, 25, AM(C)",179,70,33,2851,14,9,6,-,1.8,80,0.8,1,7.35,"Davy Klaassen Ajax, 25, AM(C)",179,70,33,2851,1.6,1,1,-,1.1,0.8,0.3,-,7.35,"Davy Klaassen Ajax, 25, AM(C)",179,70,33,2851,14,9,1.8,1.8,0.4,0.9,0.1,0.6,1.4,7.35,"Davy Klaassen Ajax, 25, AM(C)",179,70,33,2851,9,1.8,40.8,80,0.1,1.1,0.2,7.35
"Daley Sinkgraven Ajax, 23, D(L),M(CL)",179,65,21(3),1791,1,5,3,-,0.5,84.7,1.1,1,7.34,"Daley Sinkgraven Ajax, 23, D(L),M(CL)",179,65,21(3),1791,2.4,2.3,1.1,0.2,1.7,1.3,0.1,-,7.34,"Daley Sinkgraven Ajax, 23, D(L),M(CL)",179,65,21(3),1791,1,5,0.5,1,1.3,0.8,0.1,0.8,0.9,7.34,"Daley Sinkgraven Ajax, 23, D(L),M(CL)",179,65,21(3),1791,5,1,44.4,84.7,0.4,2.8,-,7.34
"Davinson Sánchez Ajax, 22, D(C)",187,81,32,2764,6,2,2,-,1,88.9,2.4,-,7.31,"Davinson Sánchez Ajax, 22, D(C)",187,81,32,2764,1.5,1.9,1,0.6,5.2,0.7,0.2,-,7.31,"Davinson Sánchez Ajax, 22, D(C)",187,81,32,2764,6,2,1,0.2,0.4,0.5,-,0.4,0.7,7.31,"Davinson Sánchez Ajax, 22, D(C)",187,81,32,2764,2,0.2,70.9,88.9,-,4.8,-,7.31
"Nick Viergever Ajax, 29, D(CL),DMC",183,77,27(2),2456,2,2,3,1,0.7,88.1,2.6,1,7.21,"Nick Viergever Ajax, 29, D(CL),DMC",183,77,27(2),2456,1.1,2.4,0.8,0.5,3.5,0.5,0.4,-,7.21,"Nick Viergever Ajax, 29, D(CL),DMC",183,77,27(2),2456,2,2,0.7,0.6,0.4,0.3,-,0.4,0.6,7.21,"Nick Viergever Ajax, 29, D(CL),DMC",183,77,27(2),2456,2,0.6,66.8,88.1,0.2,3.4,-,7.21
"Justin Kluivert Ajax, 19, AM(LR)",171,66,7(7),786,2,4,3,-,1.4,82.2,-,1,7.18,"Justin Kluivert Ajax, 19, AM(LR)",171,66,7(7),786,0.7,0.4,1.3,-,-,0.4,-,-,7.18,"Justin Kluivert Ajax, 19, AM(LR)",171,66,7(7),786,2,4,1.4,1.4,2.8,1.3,0.4,1.1,2.1,7.18,"Justin Kluivert Ajax, 19, AM(LR)",171,66,7(7),786,4,1.4,13.2,82.2,0.7,0.6,0.1,7.18
"Frenkie de Jong Ajax, 21, D(C),DMC",180,70,1(3),149,1,-,-,-,1.5,87.6,0.5,-,6.99,"Frenkie de Jong Ajax, 21, D(C),DMC",180,70,1(3),149,0.5,-,0.3,-,0.3,-,-,-,6.99,"Frenkie de Jong Ajax, 21, D(C),DMC",180,70,1(3),149,1,-,1.5,2,1.3,0.3,-,0.8,0.3,6.99,"Frenkie de Jong Ajax, 21, D(C),DMC",180,70,1(3),149,-,2,34.3,87.6,-,1.5,-,6.99
"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,11(5),1092,-,-,1,-,0.3,92.4,0.8,-,6.97,"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,11(5),1092,1.1,2.2,0.9,0.6,2,0.4,0.4,-,6.97,"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,11(5),1092,-,-,0.3,0.6,0.8,0.4,-,0.7,0.3,6.97,"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,11(5),1092,-,0.6,60.2,92.4,-,4.5,0.1,6.97
"Matthijs de Ligt Ajax, 19, D(C)",188,89,6(5),565,2,-,-,-,0.9,85.7,2.5,-,6.95,"Matthijs de Ligt Ajax, 19, D(C)",188,89,6(5),565,1.4,1.2,0.5,0.2,3.9,0.3,0.5,-,6.95,"Matthijs de Ligt Ajax, 19, D(C)",188,89,6(5),565,2,-,0.9,-,0.1,0.5,-,-,0.5,6.95,"Matthijs de Ligt Ajax, 19, D(C)",188,89,6(5),565,-,-,38.7,85.7,-,2.3,-,6.95
"André Onana Ajax, 22, GK",187,93,32,2880,-,1,2,-,-,75.1,0.2,-,6.89,"André Onana Ajax, 22, GK",187,93,32,2880,-,0.1,-,-,0.8,0.1,-,-,6.89,"André Onana Ajax, 22, GK",187,93,32,2880,-,1,-,-,0.2,-,-,-,-,6.89,"André Onana Ajax, 22, GK",187,93,32,2880,1,-,28,75.1,-,5.1,-,6.89
"Heiko Westermann Ajax, 35, D(CLR)",190,87,1(3),157,-,-,1,-,0.3,92.9,3.5,-,6.85,"Heiko Westermann Ajax, 35, D(CLR)",190,87,1(3),157,1.3,0.8,0.3,0.3,2.8,0.3,0.3,-,6.85,"Heiko Westermann Ajax, 35, D(CLR)",190,87,1(3),157,-,-,0.3,0.3,-,0.5,-,-,0.8,6.85,"Heiko Westermann Ajax, 35, D(CLR)",190,87,1(3),157,-,0.3,31.8,92.9,-,3.8,-,6.85
"Anwar El Ghazi Ajax, 23, AM(LR),FW",189,90,7(5),621,-,2,-,-,1.6,81.5,0.6,-,6.85,"Anwar El Ghazi Ajax, 23, AM(LR),FW",189,90,7(5),621,0.3,0.4,0.3,0.1,-,0.2,-,-,6.85,"Anwar El Ghazi Ajax, 23, AM(LR),FW",189,90,7(5),621,-,2,1.6,0.7,2.3,1,0.3,1.6,0.9,6.85,"Anwar El Ghazi Ajax, 23, AM(LR),FW",189,90,7(5),621,2,0.7,18.9,81.5,0.8,0.4,-,6.85
"Kenny Tete Ajax, 22, D(R)",180,71,5,450,-,-,-,-,0.4,85.9,1,-,6.8,"Kenny Tete Ajax, 22, D(R)",180,71,5,450,2.6,1.6,1.2,0.6,3.2,0.2,0.4,1,6.8,"Kenny Tete Ajax, 22, D(R)",180,71,5,450,-,-,0.4,1,0.6,0.8,-,1.2,2,6.8,"Kenny Tete Ajax, 22, D(R)",180,71,5,450,-,1,62.2,85.9,0.2,3.4,-,6.8
