Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Nick Viergever Ajax, 29, D CL),DMC",183,77,12,1080,2,1,2,-,0.4,86.3,1.8,-,7.25,"Nick Viergever Ajax, 29, D CL),DMC",183,77,12,1080,1.3,1.1,1.2,1.1,3.4,0.8,1.1,-,7.25,"Nick Viergever Ajax, 29, D CL),DMC",183,77,12,1080,2,1,0.4,1.1,0.7,0.3,-,0.6,0.7,7.25,"Nick Viergever Ajax, 29, D CL),DMC",183,77,12,1080,1,1.1,69.8,86.3,0.2,1.6,0.1,7.25
"Klaas-Jan Huntelaar Ajax, 35, FW",186,83,24,2032,13,5,4,-,3.4,74.8,1.7,1,7.17,"Klaas-Jan Huntelaar Ajax, 35, FW",186,83,24,2032,0.3,0.1,1.2,-,0.4,0.5,0.1,-,7.17,"Klaas-Jan Huntelaar Ajax, 35, FW",186,83,24,2032,13,5,3.4,1,0.4,1.4,0.6,0.9,2,7.17,"Klaas-Jan Huntelaar Ajax, 35, FW",186,83,24,2032,5,1,20.1,74.8,0.1,0.3,0.1,7.17
"Joël Veltman Ajax, 26, D CR)",184,75,28,2485,1,1,6,1,0.8,85.4,2.2,1,7.17,"Joël Veltman Ajax, 26, D CR)",184,75,28,2485,2.8,1.8,1.3,0.5,2.7,1,0.4,-,7.17,"Joël Veltman Ajax, 26, D CR)",184,75,28,2485,1,1,0.8,0.7,0.1,1.6,-,0.2,0.3,7.17,"Joël Veltman Ajax, 26, D CR)",184,75,28,2485,1,0.7,55.4,85.4,0.5,2.4,-,7.17
"Matthijs de Ligt Ajax, 19, D C)",188,89,33,2913,3,2,8,-,1,89.3,3.1,-,7.07,"Matthijs de Ligt Ajax, 19, D C)",188,89,33,2913,1,1.7,0.8,0.7,4.4,0.4,0.6,1,7.07,"Matthijs de Ligt Ajax, 19, D C)",188,89,33,2913,3,2,1,0.3,0.5,0.4,0.1,0.2,0.5,7.07,"Matthijs de Ligt Ajax, 19, D C)",188,89,33,2913,2,0.3,62.4,89.3,-,3.3,-,7.07
"Luis Orejuela Ajax, 23, Defender",180,71,0,45,-,-,-,-,-,83.3,2,-,6.95,"Luis Orejuela Ajax, 23, Defender",180,71,0,45,4,1,2,-,-,-,-,-,6.95,"Luis Orejuela Ajax, 23, Defender",180,71,0,45,-,-,-,-,-,-,-,-,-,6.95,"Luis Orejuela Ajax, 23, Defender",180,71,0,45,-,-,18,83.3,1,1,-,6.95
"Rasmus Kristensen Ajax, 21, D R)",186,70,5,484,-,-,1,-,0.9,81.8,1.4,-,6.88,"Rasmus Kristensen Ajax, 21, D R)",186,70,5,484,2.5,1.5,0.5,0.1,0.9,1.6,-,-,6.88,"Rasmus Kristensen Ajax, 21, D R)",186,70,5,484,-,-,0.9,0.9,0.4,0.3,-,0.3,1.3,6.88,"Rasmus Kristensen Ajax, 21, D R)",186,70,5,484,-,0.9,39.3,81.8,0.8,1,-,6.88
"André Onana Ajax, 22, GK",187,93,33,2970,-,-,3,-,-,73.1,0.2,-,6.88,"André Onana Ajax, 22, GK",187,93,33,2970,-,-,-,-,0.9,-,-,-,6.88,"André Onana Ajax, 22, GK",187,93,33,2970,-,-,-,-,0.1,-,-,-,-,6.88,"André Onana Ajax, 22, GK",187,93,33,2970,-,-,25.8,73.1,-,5,-,6.88
"Noussair Mazraoui Ajax, 20, D R)",183,62,3,291,-,-,-,-,0.9,85.3,0.6,1,6.84,"Noussair Mazraoui Ajax, 20, D R)",183,62,3,291,1.6,1.4,0.5,-,0.8,0.4,0.3,-,6.84,"Noussair Mazraoui Ajax, 20, D R)",183,62,3,291,-,-,0.9,0.8,1.5,0.1,-,0.4,0.3,6.84,"Noussair Mazraoui Ajax, 20, D R)",183,62,3,291,-,0.8,23,85.3,0.3,0.5,-,6.84
"Maximilian Wöber Ajax, 20, D CL)",189,82,16,1230,1,-,2,-,0.8,88.2,1.9,-,6.84,"Maximilian Wöber Ajax, 20, D CL)",189,82,16,1230,1.1,1.2,0.6,0.3,2.3,0.3,0.3,-,6.84,"Maximilian Wöber Ajax, 20, D CL)",189,82,16,1230,1,-,0.8,0.1,0.5,0.4,0.1,0.1,0.2,6.84,"Maximilian Wöber Ajax, 20, D CL)",189,82,16,1230,-,0.1,39.7,88.2,0.1,1.5,-,6.84
"Daley Sinkgraven Ajax, 23, D L),M CL)",179,65,1,145,-,-,-,-,-,87.9,0.8,-,6.82,"Daley Sinkgraven Ajax, 23, D L),M CL)",179,65,1,145,1,1,0.5,0.3,0.3,0.5,-,-,6.82,"Daley Sinkgraven Ajax, 23, D L),M CL)",179,65,1,145,-,-,-,0.5,1,-,-,0.3,0.8,6.82,"Daley Sinkgraven Ajax, 23, D L),M CL)",179,65,1,145,-,0.5,24.8,87.9,0.5,2.5,-,6.82
"Mitchell Dijks Ajax, 25, D L)",194,93,8,682,-,-,-,-,0.7,84.8,1,-,6.78,"Mitchell Dijks Ajax, 25, D L)",194,93,8,682,1.3,0.7,1.1,0.9,1.4,0.3,0.1,-,6.78,"Mitchell Dijks Ajax, 25, D L)",194,93,8,682,-,-,0.7,0.9,1.3,1.3,0.1,1,1.1,6.78,"Mitchell Dijks Ajax, 25, D L)",194,93,8,682,-,0.9,36.4,84.8,0.2,1.2,-,6.78
"Kasper Dolberg Ajax, 20, FW",187,83,11,1143,6,-,-,-,2,78.1,0.5,-,6.69,"Kasper Dolberg Ajax, 20, FW",187,83,11,1143,0.3,0.1,0.6,-,0.3,0.1,-,-,6.69,"Kasper Dolberg Ajax, 20, FW",187,83,11,1143,6,-,2,0.7,0.5,0.7,0.2,1.2,1.6,6.69,"Kasper Dolberg Ajax, 20, FW",187,83,11,1143,-,0.7,11.5,78.1,-,-,-,6.69
"Vaclav Cerny Ajax, 20, AM R)",179,65,2,157,-,2,-,-,1,88.4,-,-,6.64,"Vaclav Cerny Ajax, 20, AM R)",179,65,2,157,0.5,-,0.3,-,-,-,-,-,6.64,"Vaclav Cerny Ajax, 20, AM R)",179,65,2,157,-,2,1,2.3,0.5,0.5,-,0.8,1.3,6.64,"Vaclav Cerny Ajax, 20, AM R)",179,65,2,157,2,2.3,21.5,88.4,0.3,0.5,-,6.64
"Carel Eiting Ajax, 20, Midfielder",179,76,1,142,-,-,1,-,-,82,0.5,-,6.49,"Carel Eiting Ajax, 20, Midfielder",179,76,1,142,1,0.5,0.5,-,0.5,-,0.3,-,6.49,"Carel Eiting Ajax, 20, Midfielder",179,76,1,142,-,-,-,1.8,0.3,-,-,0.5,1,6.49,"Carel Eiting Ajax, 20, Midfielder",179,76,1,142,-,1.8,25,82,-,1,-,6.49
"Siem de Jong Ajax, 29, AM C),FW",185,82,4,556,4,1,-,1,0.8,75,0.5,-,6.45,"Siem de Jong Ajax, 29, AM C),FW",185,82,4,556,0.5,0.2,0.4,-,0.2,0.3,-,-,6.45,"Siem de Jong Ajax, 29, AM C),FW",185,82,4,556,4,1,0.8,0.6,0.2,0.2,-,0.2,0.5,6.45,"Siem de Jong Ajax, 29, AM C),FW",185,82,4,556,1,0.6,9.1,75,-,0.2,-,6.45
"Mateo Cassierra Ajax, 21, FW",184,77,0,70,1,-,-,-,1.5,85.7,0.3,-,6.37,"Mateo Cassierra Ajax, 21, FW",184,77,0,70,-,-,-,-,-,0.3,-,-,6.37,"Mateo Cassierra Ajax, 21, FW",184,77,0,70,1,-,1.5,0.5,-,-,0.3,0.3,0.5,6.37,"Mateo Cassierra Ajax, 21, FW",184,77,0,70,-,0.5,5.3,85.7,-,-,-,6.37
"Deyovaisio Zeefuik Ajax, 20, D R)",177,76,2,164,-,-,2,-,0.2,85.7,1,-,6.34,"Deyovaisio Zeefuik Ajax, 20, D R)",177,76,2,164,1.8,1,0.8,0.2,1.4,-,-,-,6.34,"Deyovaisio Zeefuik Ajax, 20, D R)",177,76,2,164,-,-,0.2,-,0.4,0.2,-,0.6,0.4,6.34,"Deyovaisio Zeefuik Ajax, 20, D R)",177,76,2,164,-,-,18.2,85.7,-,0.8,-,6.34
"Dani de Wit Ajax, 20, Midfielder",183,75,0,5,-,-,-,-,-,16.7,2,-,6.14,"Dani de Wit Ajax, 20, Midfielder",183,75,0,5,-,-,-,-,-,-,-,-,6.14,"Dani de Wit Ajax, 20, Midfielder",183,75,0,5,-,-,-,-,-,-,-,-,-,6.14,"Dani de Wit Ajax, 20, Midfielder",183,75,0,5,-,-,6,16.7,-,-,-,6.14
"Jurgen Ekkelenkamp Ajax, 18, Midfielder",0,0,0,13,-,-,-,-,-,100,-,-,6.04,"Jurgen Ekkelenkamp Ajax, 18, Midfielder",0,0,0,13,-,-,0.3,-,-,-,-,-,6.04,"Jurgen Ekkelenkamp Ajax, 18, Midfielder",0,0,0,13,-,-,-,-,-,-,-,-,0.3,6.04,"Jurgen Ekkelenkamp Ajax, 18, Midfielder",0,0,0,13,-,-,3.3,100,-,0.3,-,6.04
"Dennis Johnsen Ajax, 20, Forward",185,73,0,5,-,-,-,-,-,57.1,-,-,6,"Dennis Johnsen Ajax, 20, Forward",185,73,0,5,-,-,-,-,-,-,-,-,6,"Dennis Johnsen Ajax, 20, Forward",185,73,0,5,-,-,-,-,0.5,-,-,-,1,6,"Dennis Johnsen Ajax, 20, Forward",185,73,0,5,-,-,3.5,57.1,-,-,-,6
