Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Hakim Ziyech Ajax, 25, M CR)",180,65,34,3043,9,15,4,-,4.9,75.4,0.2,9,8.21,"Hakim Ziyech Ajax, 25, M CR)",180,65,34,3043,1.6,1,1.3,-,0.3,2,0.1,-,8.21,"Hakim Ziyech Ajax, 25, M CR)",180,65,34,3043,9,15,4.9,4.2,3.4,1.4,0.1,2.4,2.4,8.21,"Hakim Ziyech Ajax, 25, M CR)",180,65,34,3043,15,4.2,61.1,75.4,2.9,5,0.6,8.21
"David Neres Ajax, 21, AM R)",175,66,28,2534,14,11,3,-,2.1,83.1,0.3,6,7.85,"David Neres Ajax, 21, AM R)",175,66,28,2534,1.3,0.4,0.8,-,0.1,1,0.1,-,7.85,"David Neres Ajax, 21, AM R)",175,66,28,2534,14,11,2.1,2.2,3.6,1.3,0.2,2.5,2.6,7.85,"David Neres Ajax, 21, AM R)",175,66,28,2534,11,2.2,31.8,83.1,0.2,0.3,0.2,7.85
"Azor Matusiwa Ajax, 20, Midfielder",173,72,1,90,-,-,-,-,-,85.7,6,-,7.66,"Azor Matusiwa Ajax, 20, Midfielder",173,72,1,90,2,1,2,-,2,-,-,-,7.66,"Azor Matusiwa Ajax, 20, Midfielder",173,72,1,90,-,-,-,3,2,2,-,1,-,7.66,"Azor Matusiwa Ajax, 20, Midfielder",173,72,1,90,-,3,77,85.7,-,2,-,7.66
"Justin Kluivert Ajax, 19, AM LR)",171,66,27,2335,10,5,2,-,2.7,86.7,0.1,4,7.51,"Justin Kluivert Ajax, 19, AM LR)",171,66,27,2335,1.1,0.4,1.4,-,0.1,0.7,0.1,-,7.51,"Justin Kluivert Ajax, 19, AM LR)",171,66,27,2335,10,5,2.7,1.6,2.7,1.4,0.2,1.3,2.4,7.51,"Justin Kluivert Ajax, 19, AM LR)",171,66,27,2335,5,1.6,27.3,86.7,0.8,0.6,0.1,7.51
"Kostas Lamprou Ajax, 27, GK",178,84,1,90,-,-,-,-,-,73.3,1,-,7.48,"Kostas Lamprou Ajax, 27, GK",178,84,1,90,1,-,-,-,-,-,-,-,7.48,"Kostas Lamprou Ajax, 27, GK",178,84,1,90,-,-,-,-,1,1,-,-,-,7.48,"Kostas Lamprou Ajax, 27, GK",178,84,1,90,-,-,30,73.3,-,6,-,7.48
"Lasse Schöne Ajax, 32, M CLR)",177,78,27,2350,10,3,6,-,1.9,87,1.9,2,7.45,"Lasse Schöne Ajax, 32, M CLR)",177,78,27,2350,2.1,1.3,0.9,-,1,1.2,0.2,-,7.45,"Lasse Schöne Ajax, 32, M CLR)",177,78,27,2350,10,3,1.9,1.4,1.1,1,-,1,1.2,7.45,"Lasse Schöne Ajax, 32, M CLR)",177,78,27,2350,3,1.4,56.1,87,0.9,1.7,0.1,7.45
"Donny van de Beek Ajax, 21, DMC",183,74,33,2856,11,6,4,-,2.1,82.5,0.8,2,7.4,"Donny van de Beek Ajax, 21, DMC",183,74,33,2856,1.8,0.9,0.8,-,1.1,1,0.1,-,7.4,"Donny van de Beek Ajax, 21, DMC",183,74,33,2856,11,6,2.1,1.5,1.3,0.8,0.1,1.2,1,7.4,"Donny van de Beek Ajax, 21, DMC",183,74,33,2856,6,1.5,45.8,82.5,0.2,1.6,0.1,7.4
"Frenkie de Jong Ajax, 21, D C),DMC",180,70,16,1560,-,7,2,-,0.5,91.4,1.1,-,7.3,"Frenkie de Jong Ajax, 21, D C),DMC",180,70,16,1560,1.7,1.1,0.5,0.3,1.1,0.4,-,-,7.3,"Frenkie de Jong Ajax, 21, D C),DMC",180,70,16,1560,-,7,0.5,1.5,2.5,1,-,0.7,0.6,7.3,"Frenkie de Jong Ajax, 21, D C),DMC",180,70,16,1560,7,1.5,62.2,91.4,-,2.9,0.1,7.3
"Amin Younes Ajax, 25, AM CL)",168,67,9,849,1,2,-,-,2.3,78.6,0.3,-,7.28,"Amin Younes Ajax, 25, AM CL)",168,67,9,849,1.4,0.5,0.9,-,0.2,0.4,-,-,7.28,"Amin Younes Ajax, 25, AM CL)",168,67,9,849,1,2,2.3,1.3,3.2,1.5,0.5,1.8,1.9,7.28,"Amin Younes Ajax, 25, AM CL)",168,67,9,849,2,1.3,26.2,78.6,0.3,0.8,0.1,7.28
"Nicolás Tagliafico Ajax, 26, D CL)",171,65,15,1339,1,2,4,1,0.7,84.3,2.3,1,7.25,"Nicolás Tagliafico Ajax, 26, D CL)",171,65,15,1339,2.9,2.6,1.6,0.1,1.5,0.9,0.3,-,7.25,"Nicolás Tagliafico Ajax, 26, D CL)",171,65,15,1339,1,2,0.7,1,0.5,2.1,-,0.8,0.9,7.25,"Nicolás Tagliafico Ajax, 26, D CL)",171,65,15,1339,2,1,51.5,84.3,0.5,1.7,-,7.25
