Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Joël Veltman Ajax, 26, D(CR)",184,75,34,3026,2,5,4,-,0.6,78.9,3.3,5,7.77,"Joël Veltman Ajax, 26, D(CR)",184,75,34,3026,3.4,3.4,1.7,0.6,5.2,0.6,0.3,-,7.77,"Joël Veltman Ajax, 26, D(CR)",184,75,34,3026,2,5,0.6,0.5,0.5,1.3,-,0.3,0.5,7.77,"Joël Veltman Ajax, 26, D(CR)",184,75,34,3026,5,0.5,56.9,78.9,0.1,5.1,0.1,7.77
"Nemanja Gudelj Ajax, 26, M(C)",187,87,34,2989,4,8,4,-,1.4,82.8,2.3,5,7.73,"Nemanja Gudelj Ajax, 26, M(C)",187,87,34,2989,1.9,2.4,1.6,0.1,2,0.4,0.4,-,7.73,"Nemanja Gudelj Ajax, 26, M(C)",187,87,34,2989,4,8,1.4,1.8,0.9,1.3,-,0.8,0.9,7.73,"Nemanja Gudelj Ajax, 26, M(C)",187,87,34,2989,8,1.8,50.7,82.8,1.8,2.8,-,7.73
"Diederik Boer Ajax, 38, GK",194,89,1,90,-,-,-,-,-,35.3,-,-,7.51,"Diederik Boer Ajax, 38, GK",194,89,1,90,-,-,-,-,2,-,-,-,7.51,"Diederik Boer Ajax, 38, GK",194,89,1,90,-,-,-,-,-,-,-,-,-,7.51,"Diederik Boer Ajax, 38, GK",194,89,1,90,-,-,34,35.3,-,8,-,7.51
"Amin Younes Ajax, 25, AM(CL)",168,67,25(2),1914,8,5,-,-,1.7,81.6,0.1,2,7.39,"Amin Younes Ajax, 25, AM(CL)",168,67,25(2),1914,1.1,0.7,1,-,-,0.4,-,-,7.39,"Amin Younes Ajax, 25, AM(CL)",168,67,25(2),1914,8,5,1.7,1.4,2.6,1.3,0.2,2.4,1.6,7.39,"Amin Younes Ajax, 25, AM(CL)",168,67,25(2),1914,5,1.4,23.7,81.6,0.4,1,0.1,7.39
"Davy Klaassen Ajax, 25, AM(C)",179,70,30(1),2636,13,8,4,-,1.5,78.7,1.7,1,7.35,"Davy Klaassen Ajax, 25, AM(C)",179,70,30(1),2636,1.4,0.9,0.8,-,0.6,0.6,0.2,-,7.35,"Davy Klaassen Ajax, 25, AM(C)",179,70,30(1),2636,13,8,1.5,1.8,0.4,0.7,0.2,1.3,1.5,7.35,"Davy Klaassen Ajax, 25, AM(C)",179,70,30(1),2636,8,1.8,37.2,78.7,0.1,1.3,0.1,7.35
"Mitchell Dijks Ajax, 25, D(L)",194,93,29,2493,-,6,5,-,0.6,81.1,1.2,2,7.32,"Mitchell Dijks Ajax, 25, D(L)",194,93,29,2493,2,1.3,1.6,0.4,1.9,0.3,0.3,-,7.32,"Mitchell Dijks Ajax, 25, D(L)",194,93,29,2493,-,6,0.6,1.1,1.6,1.2,-,0.9,0.8,7.32,"Mitchell Dijks Ajax, 25, D(L)",194,93,29,2493,6,1.1,43.2,81.1,1.3,2.6,-,7.32
"Arkadiusz Milik Ajax, 24, FW",186,78,28(3),2474,21,7,1,-,3.5,72,1.5,3,7.3,"Arkadiusz Milik Ajax, 24, FW",186,78,28(3),2474,0.3,0.3,1.2,-,0.3,0.5,-,-,7.3,"Arkadiusz Milik Ajax, 24, FW",186,78,28(3),2474,21,7,3.5,1,0.4,1.4,0.9,1.7,2.1,7.3,"Arkadiusz Milik Ajax, 24, FW",186,78,28(3),2474,7,1,24.4,72,-,0.5,0.1,7.3
"Nick Viergever Ajax, 29, D(CL),DMC",183,77,14(3),1430,-,2,4,-,0.2,86.5,1.8,-,7.2,"Nick Viergever Ajax, 29, D(CL),DMC",183,77,14(3),1430,1.3,2.2,1.3,0.4,3.8,0.4,0.7,-,7.2,"Nick Viergever Ajax, 29, D(CL),DMC",183,77,14(3),1430,-,2,0.2,0.6,0.6,0.4,-,0.3,0.7,7.2,"Nick Viergever Ajax, 29, D(CL),DMC",183,77,14(3),1430,2,0.6,54.6,86.5,0.2,2.2,0.1,7.2
"Kenny Tete Ajax, 22, D(R)",180,71,19(2),1595,-,1,2,-,0.2,85.4,0.8,2,7.19,"Kenny Tete Ajax, 22, D(R)",180,71,19(2),1595,2.9,3,1.3,0.1,1.4,0.6,0.3,-,7.19,"Kenny Tete Ajax, 22, D(R)",180,71,19(2),1595,-,1,0.2,0.5,0.7,0.8,-,0.8,0.9,7.19,"Kenny Tete Ajax, 22, D(R)",180,71,19(2),1595,1,0.5,42.5,85.4,0.2,2.3,-,7.19
"Riechedly Bazoer Ajax, 21, DMC",184,74,27(2),2324,5,4,4,-,1.9,85.2,0.9,1,7.18,"Riechedly Bazoer Ajax, 21, DMC",184,74,27(2),2324,1.4,0.7,0.8,-,0.5,0.6,0.1,-,7.18,"Riechedly Bazoer Ajax, 21, DMC",184,74,27(2),2324,5,4,1.9,0.8,1.1,1.5,-,1.1,1.1,7.18,"Riechedly Bazoer Ajax, 21, DMC",184,74,27(2),2324,4,0.8,45,85.2,0.2,3.3,0.1,7.18
"Anwar El Ghazi Ajax, 23, AM(LR),FW",189,90,20(7),1760,11,2,2,1,2.1,75.6,1.3,2,7.12,"Anwar El Ghazi Ajax, 23, AM(LR),FW",189,90,20(7),1760,0.6,0.2,1.2,-,0.2,0.3,-,-,7.12,"Anwar El Ghazi Ajax, 23, AM(LR),FW",189,90,20(7),1760,11,2,2.1,0.9,1.7,1.3,0.3,1.9,2.7,7.12,"Anwar El Ghazi Ajax, 23, AM(LR),FW",189,90,20(7),1760,2,0.9,16.3,75.6,0.7,0.2,-,7.12
"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,21(2),1852,-,1,5,-,-,89.3,0.9,-,7.09,"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,21(2),1852,1.6,2.4,1.2,0.6,2.3,0.6,0.4,-,7.09,"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,21(2),1852,-,1,-,0.3,1.1,0.8,-,0.3,0.4,7.09,"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,21(2),1852,1,0.3,62.6,89.3,-,5,0.1,7.09
"Mike van der Hoorn Ajax, 25, D(C)",190,81,13(2),1168,1,1,1,1,0.5,78.8,4.1,1,7.06,"Mike van der Hoorn Ajax, 25, D(C)",190,81,13(2),1168,0.9,0.9,0.5,0.3,4,0.1,0.4,-,7.06,"Mike van der Hoorn Ajax, 25, D(C)",190,81,13(2),1168,1,1,0.5,0.4,0.3,0.4,-,0.1,0.1,7.06,"Mike van der Hoorn Ajax, 25, D(C)",190,81,13(2),1168,1,0.4,41.9,78.8,-,4.8,-,7.06
