Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Lasse Schöne Ajax, 32, M(CLR)",177,78,12(12),1077,4,4,1,-,1.1,82.4,0.7,2,6.91,"Lasse Schöne Ajax, 32, M(CLR)",177,78,12(12),1077,0.5,0.5,0.5,-,0.3,0.2,-,-,6.91,"Lasse Schöne Ajax, 32, M(CLR)",177,78,12(12),1077,4,4,1.1,1.4,1,0.8,0.2,0.9,1.2,6.91,"Lasse Schöne Ajax, 32, M(CLR)",177,78,12(12),1077,4,1.4,19.9,82.4,0.8,0.5,-,6.91
"Daley Sinkgraven Ajax, 23, D(L),M(CL)",179,65,10(6),941,-,-,1,-,0.6,83.4,0.7,-,6.91,"Daley Sinkgraven Ajax, 23, D(L),M(CL)",179,65,10(6),941,1.8,1,0.4,-,0.3,0.6,0.2,-,6.91,"Daley Sinkgraven Ajax, 23, D(L),M(CL)",179,65,10(6),941,-,-,0.6,0.6,1.3,1.1,0.1,1.6,1,6.91,"Daley Sinkgraven Ajax, 23, D(L),M(CL)",179,65,10(6),941,-,0.6,30.5,83.4,0.6,1.9,-,6.91
"Sam Hendriks Ajax, 23, FW",180,78,0(1),9,-,1,-,-,1,50,-,-,6.85,"Sam Hendriks Ajax, 23, FW",180,78,0(1),9,-,-,1,-,1,-,-,-,6.85,"Sam Hendriks Ajax, 23, FW",180,78,0(1),9,-,1,1,1,-,-,-,-,-,6.85,"Sam Hendriks Ajax, 23, FW",180,78,0(1),9,1,1,2,50,1,-,-,6.85
"Vaclav Cerny Ajax, 20, AM(R)",179,65,2(5),267,1,1,-,-,1.6,86.4,0.1,-,6.83,"Vaclav Cerny Ajax, 20, AM(R)",179,65,2(5),267,0.7,0.6,-,-,0.1,0.3,-,-,6.83,"Vaclav Cerny Ajax, 20, AM(R)",179,65,2(5),267,1,1,1.6,1,1.6,0.4,-,0.3,1.4,6.83,"Vaclav Cerny Ajax, 20, AM(R)",179,65,2(5),267,1,1,15.7,86.4,0.1,0.4,0.1,6.83
"Jasper Cillessen Ajax, 29, GK",185,83,33,2970,-,-,-,-,-,62.3,0.1,-,6.81,"Jasper Cillessen Ajax, 29, GK",185,83,33,2970,-,-,-,-,0.7,-,-,-,6.81,"Jasper Cillessen Ajax, 29, GK",185,83,33,2970,-,-,-,0.1,0.1,0.1,-,-,0.1,6.81,"Jasper Cillessen Ajax, 29, GK",185,83,33,2970,-,0.1,28,62.3,-,6.5,-,6.81
"Viktor Fischer Ajax, 24, AM(L),FW",180,71,10(18),1191,8,3,-,-,1.5,80.2,0.3,2,6.8,"Viktor Fischer Ajax, 24, AM(L),FW",180,71,10(18),1191,0.3,0.3,0.2,-,0.1,0.2,-,-,6.8,"Viktor Fischer Ajax, 24, AM(L),FW",180,71,10(18),1191,8,3,1.5,0.7,1.1,0.4,0.2,1,1,6.8,"Viktor Fischer Ajax, 24, AM(L),FW",180,71,10(18),1191,3,0.7,15.9,80.2,-,0.7,-,6.8
"Donny van de Beek Ajax, 21, DMC",183,74,4(4),348,-,-,-,-,0.4,83.7,0.3,-,6.53,"Donny van de Beek Ajax, 21, DMC",183,74,4(4),348,1.6,0.4,0.6,-,0.4,0.5,0.1,-,6.53,"Donny van de Beek Ajax, 21, DMC",183,74,4(4),348,-,-,0.4,0.6,0.4,0.8,0.3,1.1,0.6,6.53,"Donny van de Beek Ajax, 21, DMC",183,74,4(4),348,-,0.6,23.8,83.7,-,0.9,-,6.53
"Thulani Serero Ajax, 28, DMC",172,68,6(8),574,1,-,-,-,0.5,87.9,0.3,-,6.52,"Thulani Serero Ajax, 28, DMC",172,68,6(8),574,1.1,1.2,0.4,-,0.6,0.4,-,-,6.52,"Thulani Serero Ajax, 28, DMC",172,68,6(8),574,1,-,0.5,0.2,0.3,1.2,0.1,0.2,0.8,6.52,"Thulani Serero Ajax, 28, DMC",172,68,6(8),574,-,0.2,22.5,87.9,-,0.4,0.1,6.52
"Robert Muric Ajax, 22, Midfielder",180,76,0(2),28,-,1,-,-,-,93.3,-,-,6.51,"Robert Muric Ajax, 22, Midfielder",180,76,0(2),28,-,-,0.5,-,-,-,0.5,-,6.51,"Robert Muric Ajax, 22, Midfielder",180,76,0(2),28,-,1,-,0.5,0.5,0.5,-,-,0.5,6.51,"Robert Muric Ajax, 22, Midfielder",180,76,0(2),28,1,0.5,7.5,93.3,-,-,-,6.51
"Ricardo van Rhijn Ajax, 27, D(R)",179,72,2(10),372,-,-,-,-,0.5,83.3,0.3,-,6.44,"Ricardo van Rhijn Ajax, 27, D(R)",179,72,2(10),372,1,0.9,0.5,0.1,0.9,0.1,0.1,-,6.44,"Ricardo van Rhijn Ajax, 27, D(R)",179,72,2(10),372,-,-,0.5,0.3,0.2,0.1,0.1,0.1,0.2,6.44,"Ricardo van Rhijn Ajax, 27, D(R)",179,72,2(10),372,-,0.3,16.5,83.3,0.3,1.5,-,6.44
"Yaya Sanogo Ajax, 25, FW",191,74,0(3),47,-,-,-,-,-,40,1.7,-,6.31,"Yaya Sanogo Ajax, 25, FW",191,74,0(3),47,-,-,0.3,-,0.3,-,-,-,6.31,"Yaya Sanogo Ajax, 25, FW",191,74,0(3),47,-,-,-,0.3,-,0.7,0.3,0.7,0.7,6.31,"Yaya Sanogo Ajax, 25, FW",191,74,0(3),47,-,0.3,6.7,40,-,-,-,6.31
"John Heitinga Ajax, 34, D(C)",182,72,0(2),40,-,-,-,-,1,76.9,0.5,-,6.06,"John Heitinga Ajax, 34, D(C)",182,72,0(2),40,-,0.5,-,-,-,-,-,-,6.06,"John Heitinga Ajax, 34, D(C)",182,72,0(2),40,-,-,1,-,-,-,-,-,0.5,6.06,"John Heitinga Ajax, 34, D(C)",182,72,0(2),40,-,-,6.5,76.9,-,0.5,-,6.06
