180,65,6,525,2.3,0.8,1.5,0,0,0.8,0,8.26
188,89,5,450,1.2,1.4,0.6,0.4,4.8,0.4,1.2,7.75
181,76,6,529,0.5,0.2,0.8,0,0,0.5,0.3,7.57
186,70,1,90,3,2,2,0,0,0,1,7.45
171,65,5,450,2,2.4,1.2,0,2,0.8,0,7.38
186,83,5,414,0.2,0,1.2,0,0.3,0,0,7.38
180,72,6,507,1.7,1.8,0.5,0.3,2.3,0.8,0.5,7.23
183,62,5,476,2.5,2,1.3,0,2,0.5,0,7.21
187,93,6,540,0,0.2,0,0,1,0,0,7.15
180,70,5,438,1.3,1.3,0.2,0,2,0.5,0.3,7.05
187,83,0,45,1,2,1,0,1,0,0,6.72
183,74,2,276,0.7,1,0.3,0,0.8,0.2,0,6.62
177,78,4,285,0.8,0.5,1,0,0.5,0.5,0,6.55
175,66,5,342,1.4,0.6,1.2,0,0,0.8,0,6.53
179,76,3,326,1.7,0,0.7,0,0.7,1,0.2,6.48
189,82,1,76,0.5,0.5,1.5,0,2,0.5,0,6.46
173,65,0,72,0.3,0.3,0.3,0,0,0,0,6.31
180,74,1,82,0,0,0,0,0.5,0,0,6.31
0,0,0,7,1,0,0,0,0,0,0,6.30
185,73,0,12,0,0,0,0,0,0,0,6.09
