Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Nicolai Boilesen Ajax, 26, D(L)",185,75,22,1788,-,3,2,-,0.4,80.9,1.8,1,7.2,"Nicolai Boilesen Ajax, 26, D(L)",185,75,22,1788,2.5,2,0.6,0.2,3.6,0.6,0.1,-,7.2,"Nicolai Boilesen Ajax, 26, D(L)",185,75,22,1788,-,3,0.4,0.5,1,1,-,0.6,1,7.2,"Nicolai Boilesen Ajax, 26, D(L)",185,75,22,1788,3,0.5,44.5,80.9,0.5,2,-,7.2
"Niklas Moisander Ajax, 32, D(C)",183,75,25,2205,-,-,1,1,0.3,87.5,1.8,1,7.2,"Niklas Moisander Ajax, 32, D(C)",183,75,25,2205,1.4,2,0.7,0.5,5.7,0.8,0.5,-,7.2,"Niklas Moisander Ajax, 32, D(C)",183,75,25,2205,-,-,0.3,0.3,0.5,0.4,-,0.1,0.4,7.2,"Niklas Moisander Ajax, 32, D(C)",183,75,25,2205,-,0.3,70.2,87.5,-,6.1,-,7.2
"Kenny Tete Ajax, 22, D(R)",180,71,4(1),381,-,-,-,-,0.2,83.2,0.8,-,7.17,"Kenny Tete Ajax, 22, D(R)",180,71,4(1),381,4.2,2,0.2,0.4,2.2,0.2,-,-,7.17,"Kenny Tete Ajax, 22, D(R)",180,71,4(1),381,-,-,0.2,0.2,1,2.2,-,1,1,7.17,"Kenny Tete Ajax, 22, D(R)",180,71,4(1),381,-,0.2,42.8,83.2,0.4,2.8,-,7.17
"Mike van der Hoorn Ajax, 25, D(C)",190,81,9(6),947,2,-,1,-,0.9,84.1,3.3,-,7.17,"Mike van der Hoorn Ajax, 25, D(C)",190,81,9(6),947,1.7,1.4,1,0.7,5.5,0.8,0.5,-,7.17,"Mike van der Hoorn Ajax, 25, D(C)",190,81,9(6),947,2,-,0.9,0.1,0.5,0.5,-,0.2,0.5,7.17,"Mike van der Hoorn Ajax, 25, D(C)",190,81,9(6),947,-,0.1,41.5,84.1,-,3.1,-,7.17
"Jasper Cillessen Ajax, 29, GK",185,83,32,2880,-,-,-,-,-,65.4,0.1,2,7.15,"Jasper Cillessen Ajax, 29, GK",185,83,32,2880,0.1,-,-,-,1,0.1,-,-,7.15,"Jasper Cillessen Ajax, 29, GK",185,83,32,2880,-,-,-,-,0.1,0.3,-,-,-,7.15,"Jasper Cillessen Ajax, 29, GK",185,83,32,2880,-,-,31.2,65.4,-,8.8,-,7.15
"Arkadiusz Milik Ajax, 24, FW",186,78,14(7),1266,11,4,4,-,1.9,74.9,1.4,4,7.14,"Arkadiusz Milik Ajax, 24, FW",186,78,14(7),1266,0.7,0.4,1,-,0.4,0.4,-,-,7.14,"Arkadiusz Milik Ajax, 24, FW",186,78,14(7),1266,11,4,1.9,1,0.4,1,0.7,1,1.9,7.14,"Arkadiusz Milik Ajax, 24, FW",186,78,14(7),1266,4,1,18,74.9,-,0.4,0.1,7.14
"Daley Sinkgraven Ajax, 23, D(L),M(CL)",179,65,9(1),760,-,4,1,-,0.8,81.5,0.9,-,7.13,"Daley Sinkgraven Ajax, 23, D(L),M(CL)",179,65,9(1),760,2,1.4,0.6,-,0.6,2.1,0.1,-,7.13,"Daley Sinkgraven Ajax, 23, D(L),M(CL)",179,65,9(1),760,-,4,0.8,1.1,1.5,1.2,-,2,1.4,7.13,"Daley Sinkgraven Ajax, 23, D(L),M(CL)",179,65,9(1),760,4,1.1,43.9,81.5,0.7,1.5,-,7.13
"Riechedly Bazoer Ajax, 21, DMC",184,74,14(3),1215,1,-,2,-,1.5,86.9,1.2,-,7.02,"Riechedly Bazoer Ajax, 21, DMC",184,74,14(3),1215,1.5,1.1,1.2,0.1,1.2,0.4,0.2,-,7.02,"Riechedly Bazoer Ajax, 21, DMC",184,74,14(3),1215,1,-,1.5,0.5,1,1.5,0.1,1.4,1,7.02,"Riechedly Bazoer Ajax, 21, DMC",184,74,14(3),1215,-,0.5,40.3,86.9,0.4,2.1,0.1,7.02
"Thulani Serero Ajax, 28, DMC",172,68,21(8),2000,1,-,2,-,0.5,89,0.4,1,6.98,"Thulani Serero Ajax, 28, DMC",172,68,21(8),2000,2.5,2.2,0.5,-,0.8,0.7,0.2,-,6.98,"Thulani Serero Ajax, 28, DMC",172,68,21(8),2000,1,-,0.5,0.5,0.7,1.6,-,0.9,1.1,6.98,"Thulani Serero Ajax, 28, DMC",172,68,21(8),2000,-,0.5,43.4,89,-,0.8,-,6.98
"Nick Viergever Ajax, 29, D(CL),DMC",183,77,20(6),1928,2,-,5,-,0.4,85.2,1.6,-,6.98,"Nick Viergever Ajax, 29, D(CL),DMC",183,77,20(6),1928,1.8,1.7,1,0.2,2.7,0.8,0.5,-,6.98,"Nick Viergever Ajax, 29, D(CL),DMC",183,77,20(6),1928,2,-,0.4,0.5,0.6,0.5,-,0.7,0.6,6.98,"Nick Viergever Ajax, 29, D(CL),DMC",183,77,20(6),1928,-,0.5,45.9,85.2,0.1,1.8,0.1,6.98
"Ricardo Kishna Ajax, 23, AM(LR)",183,77,18(8),1472,5,5,1,-,1.4,76.1,0.4,2,6.89,"Ricardo Kishna Ajax, 23, AM(LR)",183,77,18(8),1472,0.7,0.3,0.6,-,0.1,0.3,-,-,6.89,"Ricardo Kishna Ajax, 23, AM(LR)",183,77,18(8),1472,5,5,1.4,1.3,1.2,0.4,0.1,1.5,1.7,6.89,"Ricardo Kishna Ajax, 23, AM(LR)",183,77,18(8),1472,5,1.3,16.9,76.1,1,0.4,0.1,6.89
"Kolbeinn Sigthorsson Ajax, 28, FW",186,84,13(8),1195,7,2,1,-,1.7,68,3,-,6.86,"Kolbeinn Sigthorsson Ajax, 28, FW",186,84,13(8),1195,0.5,0.2,0.7,-,0.7,0.3,-,-,6.86,"Kolbeinn Sigthorsson Ajax, 28, FW",186,84,13(8),1195,7,2,1.7,0.4,0.3,0.6,0.2,1.2,1.6,6.86,"Kolbeinn Sigthorsson Ajax, 28, FW",186,84,13(8),1195,2,0.4,17.4,68,0.1,0.1,-,6.86
"Lucas Andersen Ajax, 24, AM(CLR)",184,72,19(8),1627,2,3,2,-,0.7,83.3,0.4,-,6.86,"Lucas Andersen Ajax, 24, AM(CLR)",184,72,19(8),1627,0.9,0.6,0.6,-,0.3,0.7,0.1,-,6.86,"Lucas Andersen Ajax, 24, AM(CLR)",184,72,19(8),1627,2,3,0.7,1.2,1.7,1.6,0.1,2.1,1.6,6.86,"Lucas Andersen Ajax, 24, AM(CLR)",184,72,19(8),1627,3,1.2,27.4,83.3,0.1,0.4,0.2,6.86
"Daley Blind Ajax, 28, D(CL),DMC,M(L)",180,72,2(1),198,-,1,-,-,-,89.5,-,-,6.85,"Daley Blind Ajax, 28, D(CL),DMC,M(L)",180,72,2(1),198,1.3,0.7,1.3,-,-,0.7,-,-,6.85,"Daley Blind Ajax, 28, D(CL),DMC,M(L)",180,72,2(1),198,-,1,-,2,1.3,1,-,1,0.3,6.85,"Daley Blind Ajax, 28, D(CL),DMC,M(L)",180,72,2(1),198,1,2,35,89.5,0.3,2.7,0.3,6.85
"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,10(9),946,-,-,1,-,0.1,89.9,0.7,-,6.71,"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,10(9),946,1.8,1.4,0.5,0.1,1.6,0.4,0.2,-,6.71,"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,10(9),946,-,-,0.1,0.3,0.5,0.4,-,0.5,0.7,6.71,"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,10(9),946,-,0.3,36,89.9,-,1.4,-,6.71
"Niki Zimling Ajax, 33, M(C)",178,73,2(7),214,-,-,1,-,0.3,85.6,0.4,-,6.3,"Niki Zimling Ajax, 33, M(C)",178,73,2(7),214,1.2,0.4,0.6,-,1,0.2,0.3,-,6.3,"Niki Zimling Ajax, 33, M(C)",178,73,2(7),214,-,-,0.3,-,-,0.8,-,0.3,0.6,6.3,"Niki Zimling Ajax, 33, M(C)",178,73,2(7),214,-,-,16.2,85.6,-,0.3,-,6.3
"Lerin Duarte Ajax, 28, D(L),M(C)",169,71,0(4),67,-,-,1,-,0.3,79.5,0.3,-,6.18,"Lerin Duarte Ajax, 28, D(L),M(C)",169,71,0(4),67,0.5,0.5,0.5,-,0.3,0.3,-,-,6.18,"Lerin Duarte Ajax, 28, D(L),M(C)",169,71,0(4),67,-,-,0.3,-,0.8,0.5,-,1,0.3,6.18,"Lerin Duarte Ajax, 28, D(L),M(C)",169,71,0(4),67,-,-,9.8,79.5,-,-,-,6.18
"Richairo Zivkovic Ajax, 22, AM(R),FW",186,70,0(7),114,1,1,-,-,0.7,76,0.4,-,6.17,"Richairo Zivkovic Ajax, 22, AM(R),FW",186,70,0(7),114,0.3,-,0.3,-,-,-,-,-,6.17,"Richairo Zivkovic Ajax, 22, AM(R),FW",186,70,0(7),114,1,1,0.7,0.1,-,-,0.4,1,1,6.17,"Richairo Zivkovic Ajax, 22, AM(R),FW",186,70,0(7),114,1,0.1,3.6,76,0.1,-,-,6.17
"Queensy Menig Ajax, 23, AM(LR),FW",174,66,0(3),35,-,-,-,-,0.7,87.5,-,-,6,"Queensy Menig Ajax, 23, AM(LR),FW",174,66,0(3),35,-,-,-,-,-,-,-,-,6,"Queensy Menig Ajax, 23, AM(LR),FW",174,66,0(3),35,-,-,0.7,-,-,-,0.3,1,-,6,"Queensy Menig Ajax, 23, AM(LR),FW",174,66,0(3),35,-,-,2.7,87.5,-,-,-,6
