Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Kenneth Vermeer Ajax, 32, GK",181,78,1,90,-,-,-,-,-,51.1,-,-,8.01,"Kenneth Vermeer Ajax, 32, GK",181,78,1,90,-,-,-,-,-,-,-,-,8.01,"Kenneth Vermeer Ajax, 32, GK",181,78,1,90,-,-,-,-,-,-,-,-,-,8.01,"Kenneth Vermeer Ajax, 32, GK",181,78,1,90,-,-,45,51.1,-,10,-,8.01
"Joël Veltman Ajax, 26, D(CR)",184,75,25,2186,4,-,3,-,0.6,88.6,3,3,7.59,"Joël Veltman Ajax, 26, D(CR)",184,75,25,2186,2,2.3,1.1,0.6,7.6,0.4,0.9,1,7.59,"Joël Veltman Ajax, 26, D(CR)",184,75,25,2186,4,-,0.6,0.2,0.6,1.2,-,0.2,0.5,7.59,"Joël Veltman Ajax, 26, D(CR)",184,75,25,2186,-,0.2,64.9,88.6,-,5.7,-,7.59
"Davy Klaassen Ajax, 25, AM(C)",179,70,30,2583,6,9,4,-,1.4,82.3,1.6,2,7.47,"Davy Klaassen Ajax, 25, AM(C)",179,70,30,2583,2.7,1.6,1.4,-,1.8,1.1,0.4,-,7.47,"Davy Klaassen Ajax, 25, AM(C)",179,70,30,2583,6,9,1.4,1.4,0.4,1.5,-,1.1,1.2,7.47,"Davy Klaassen Ajax, 25, AM(C)",179,70,30,2583,9,1.4,49.3,82.3,0.1,1.8,0.3,7.47
"Lasse Schöne Ajax, 32, M(CLR)",177,78,26(3),2276,8,9,-,-,2,83.2,0.7,3,7.34,"Lasse Schöne Ajax, 32, M(CLR)",177,78,26(3),2276,0.8,0.4,1,-,0.5,0.4,0.1,-,7.34,"Lasse Schöne Ajax, 32, M(CLR)",177,78,26(3),2276,8,9,2,1.8,1.2,1.6,0.2,2.4,1.7,7.34,"Lasse Schöne Ajax, 32, M(CLR)",177,78,26(3),2276,9,1.8,33.3,83.2,1.6,0.8,0.2,7.34
"Ruben Ligeon Ajax, 26, D(LR)",175,73,2(1),204,-,1,1,-,0.7,78.4,0.3,-,7.29,"Ruben Ligeon Ajax, 26, D(LR)",175,73,2(1),204,2.7,1.7,0.3,0.3,1.3,1,-,-,7.29,"Ruben Ligeon Ajax, 26, D(LR)",175,73,2(1),204,-,1,0.7,1,1.7,1,-,0.3,0.7,7.29,"Ruben Ligeon Ajax, 26, D(LR)",175,73,2(1),204,1,1,29.3,78.4,1,2.3,-,7.29
"Stefano Denswil Ajax, 25, D(C)",188,81,1,90,-,-,-,-,-,90.5,3,-,7.27,"Stefano Denswil Ajax, 25, D(C)",188,81,1,90,3,1,-,-,5,-,1,-,7.27,"Stefano Denswil Ajax, 25, D(C)",188,81,1,90,-,-,-,1,-,2,-,-,-,7.27,"Stefano Denswil Ajax, 25, D(C)",188,81,1,90,-,1,84,90.5,-,3,-,7.27
"Ricardo van Rhijn Ajax, 27, D(R)",179,72,28,2500,2,1,1,-,1.2,84.7,0.6,2,7.23,"Ricardo van Rhijn Ajax, 27, D(R)",179,72,28,2500,2.6,1.7,0.8,0.3,3.2,0.8,0.3,-,7.23,"Ricardo van Rhijn Ajax, 27, D(R)",179,72,28,2500,2,1,1.2,1.2,0.5,0.4,0.1,0.6,0.9,7.23,"Ricardo van Rhijn Ajax, 27, D(R)",179,72,28,2500,1,1.2,47.5,84.7,0.9,3.8,-,7.23
"Anwar El Ghazi Ajax, 23, AM(LR),FW",189,90,23(8),2172,9,8,3,-,2.3,76.7,1.2,2,7.21,"Anwar El Ghazi Ajax, 23, AM(LR),FW",189,90,23(8),2172,0.5,0.3,1.1,-,0.4,0.4,-,-,7.21,"Anwar El Ghazi Ajax, 23, AM(LR),FW",189,90,23(8),2172,9,8,2.3,1.1,1.9,1.8,0.3,1.8,2.1,7.21,"Anwar El Ghazi Ajax, 23, AM(LR),FW",189,90,23(8),2172,8,1.1,17.7,76.7,1.3,0.2,-,7.21
"Diederik Boer Ajax, 38, GK",194,89,1,90,-,-,-,-,-,64,-,-,7.21,"Diederik Boer Ajax, 38, GK",194,89,1,90,-,-,-,-,-,-,-,-,7.21,"Diederik Boer Ajax, 38, GK",194,89,1,90,-,-,-,-,-,-,-,-,-,7.21,"Diederik Boer Ajax, 38, GK",194,89,1,90,-,-,50,64,-,11,-,7.21
"Viktor Fischer Ajax, 24, AM(L),FW",180,71,3(1),217,3,-,-,-,2.5,74.7,-,1,7.21,"Viktor Fischer Ajax, 24, AM(L),FW",180,71,3(1),217,0.3,0.3,-,-,-,0.5,-,-,7.21,"Viktor Fischer Ajax, 24, AM(L),FW",180,71,3(1),217,3,-,2.5,1.5,1.5,0.8,0.3,0.5,2.3,7.21,"Viktor Fischer Ajax, 24, AM(L),FW",180,71,3(1),217,-,1.5,19.8,74.7,-,1,-,7.21
