Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Viktor Fischer Ajax, 24, AM(L),FW",180,71,19(5),1636,3,2,1,-,2.6,82.3,0.5,-,7,"Viktor Fischer Ajax, 24, AM(L),FW",180,71,19(5),1636,0.3,0.8,0.3,-,0.1,0.5,-,-,7,"Viktor Fischer Ajax, 24, AM(L),FW",180,71,19(5),1636,3,2,2.6,1,2.2,0.7,0.2,1.7,1.4,7,"Viktor Fischer Ajax, 24, AM(L),FW",180,71,19(5),1636,2,1,26.9,82.3,0.4,0.7,0.1,7
"Ruben Ligeon Ajax, 26, D(LR)",175,73,4(1),351,-,1,-,-,0.6,89.7,0.2,-,6.96,"Ruben Ligeon Ajax, 26, D(LR)",175,73,4(1),351,3,1.4,0.4,0.2,0.8,0.6,-,-,6.96,"Ruben Ligeon Ajax, 26, D(LR)",175,73,4(1),351,-,1,0.6,0.6,1.4,0.4,-,1.6,1,6.96,"Ruben Ligeon Ajax, 26, D(LR)",175,73,4(1),351,1,0.6,35,89.7,0.6,1.6,0.2,6.96
"Siem de Jong Ajax, 29, AM(C),FW",185,82,16(3),1257,7,1,1,-,2.9,74.4,1.5,1,6.94,"Siem de Jong Ajax, 29, AM(C),FW",185,82,16(3),1257,0.7,0.4,0.9,0.1,0.4,0.1,0.1,-,6.94,"Siem de Jong Ajax, 29, AM(C),FW",185,82,16(3),1257,7,1,2.9,0.7,0.6,0.9,0.2,1.6,1.4,6.94,"Siem de Jong Ajax, 29, AM(C),FW",185,82,16(3),1257,1,0.7,25.7,74.4,0.1,1.2,0.1,6.94
"Toby Alderweireld Ajax, 29, D(CR)",187,90,4,360,-,-,-,-,0.8,91,1.8,-,6.94,"Toby Alderweireld Ajax, 29, D(CR)",187,90,4,360,1.8,1.5,0.5,1.5,3.8,0.5,-,-,6.94,"Toby Alderweireld Ajax, 29, D(CR)",187,90,4,360,-,-,0.8,-,0.3,1.3,-,0.3,0.3,6.94,"Toby Alderweireld Ajax, 29, D(CR)",187,90,4,360,-,-,81,91,-,9,0.3,6.94
"Lerin Duarte Ajax, 28, D(L),M(C)",169,71,6(8),655,3,-,1,-,1.4,85.4,0.4,1,6.92,"Lerin Duarte Ajax, 28, D(L),M(C)",169,71,6(8),655,1.3,0.6,0.9,0.1,0.1,0.6,0.1,-,6.92,"Lerin Duarte Ajax, 28, D(L),M(C)",169,71,6(8),655,3,-,1.4,0.6,1.4,0.9,-,0.8,1.1,6.92,"Lerin Duarte Ajax, 28, D(L),M(C)",169,71,6(8),655,-,0.6,25.5,85.4,0.6,0.7,-,6.92
"Ricardo Kishna Ajax, 23, AM(LR)",183,77,5(3),391,1,2,-,-,1.1,72.6,0.4,-,6.9,"Ricardo Kishna Ajax, 23, AM(LR)",183,77,5(3),391,0.6,0.5,0.5,-,0.1,0.5,-,-,6.9,"Ricardo Kishna Ajax, 23, AM(LR)",183,77,5(3),391,1,2,1.1,0.8,1.6,0.5,-,1.9,0.9,6.9,"Ricardo Kishna Ajax, 23, AM(LR)",183,77,5(3),391,2,0.8,14.1,72.6,0.6,0.6,-,6.9
"Bojan Ajax, 28, AM(CLR),FW",170,65,17(7),1361,4,3,2,-,2.1,83.8,0.1,1,6.88,"Bojan Ajax, 28, AM(CLR),FW",170,65,17(7),1361,0.5,0.6,0.3,-,0.1,0.5,-,-,6.88,"Bojan Ajax, 28, AM(CLR),FW",170,65,17(7),1361,4,3,2.1,1,1.5,1.2,0.2,1.3,1.3,6.88,"Bojan Ajax, 28, AM(CLR),FW",170,65,17(7),1361,3,1,23.4,83.8,0.3,1.5,0.2,6.88
"Mike van der Hoorn Ajax, 25, D(C)",190,81,2(1),167,-,-,-,-,-,88.3,2,-,6.86,"Mike van der Hoorn Ajax, 25, D(C)",190,81,2(1),167,0.3,1.3,1,1,4,0.3,-,-,6.86,"Mike van der Hoorn Ajax, 25, D(C)",190,81,2(1),167,-,-,-,-,-,0.3,-,-,-,6.86,"Mike van der Hoorn Ajax, 25, D(C)",190,81,2(1),167,-,-,54.3,88.3,-,9.3,-,6.86
"Kolbeinn Sigthorsson Ajax, 28, FW",186,84,20(10),1932,10,2,-,-,2,72.4,1.7,-,6.83,"Kolbeinn Sigthorsson Ajax, 28, FW",186,84,20(10),1932,0.5,0.6,0.4,-,0.5,0.1,0.1,-,6.83,"Kolbeinn Sigthorsson Ajax, 28, FW",186,84,20(10),1932,10,2,2,0.9,0.7,0.8,0.5,1.7,1.8,6.83,"Kolbeinn Sigthorsson Ajax, 28, FW",186,84,20(10),1932,2,0.9,18,72.4,0.1,0.2,-,6.83
"Christian Poulsen Ajax, 38, M(C)",182,79,14(15),1524,1,3,2,-,0.4,87.6,1.4,-,6.82,"Christian Poulsen Ajax, 38, M(C)",182,79,14(15),1524,1.3,0.7,0.9,0.1,1.6,0.6,0.3,-,6.82,"Christian Poulsen Ajax, 38, M(C)",182,79,14(15),1524,1,3,0.4,0.3,0.2,0.3,-,0.2,0.1,6.82,"Christian Poulsen Ajax, 38, M(C)",182,79,14(15),1524,3,0.3,47.2,87.6,0.1,3.8,-,6.82
"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,3(2),223,2,-,1,-,0.4,91.6,0.2,-,6.63,"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,3(2),223,1.2,0.2,0.2,0.2,0.8,0.4,-,-,6.63,"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,3(2),223,2,-,0.4,0.4,0.2,-,-,0.2,-,6.63,"Jairo Riedewald Ajax, 22, D(CL),DMC",182,79,3(2),223,-,0.4,26.2,91.6,-,0.6,-,6.63
"Lesly de Sa Ajax, 25, AM(LR)",170,69,5(7),513,1,1,1,-,0.9,87.3,0.2,1,6.62,"Lesly de Sa Ajax, 25, AM(LR)",170,69,5(7),513,0.6,0.1,0.5,-,0.3,0.3,-,-,6.62,"Lesly de Sa Ajax, 25, AM(LR)",170,69,5(7),513,1,1,0.9,0.9,0.7,1.5,0.1,0.7,0.8,6.62,"Lesly de Sa Ajax, 25, AM(LR)",170,69,5(7),513,1,0.9,9.8,87.3,0.9,0.2,-,6.62
"Kenneth Vermeer Ajax, 32, GK",181,78,10,857,-,-,-,-,-,86.5,0.5,-,6.62,"Kenneth Vermeer Ajax, 32, GK",181,78,10,857,-,-,-,-,1.2,0.2,-,-,6.62,"Kenneth Vermeer Ajax, 32, GK",181,78,10,857,-,-,-,-,-,0.2,-,0.1,0.2,6.62,"Kenneth Vermeer Ajax, 32, GK",181,78,10,857,-,-,32.5,86.5,-,8.5,-,6.62
"Danny Hoesen Ajax, 27, AM(LR),FW",185,75,4(10),451,2,1,-,-,1.4,75.9,0.6,-,6.56,"Danny Hoesen Ajax, 27, AM(LR),FW",185,75,4(10),451,0.4,0.1,0.9,-,0.4,0.6,-,-,6.56,"Danny Hoesen Ajax, 27, AM(LR),FW",185,75,4(10),451,2,1,1.4,1.1,0.4,0.5,0.4,1.5,1.4,6.56,"Danny Hoesen Ajax, 27, AM(LR),FW",185,75,4(10),451,1,1.1,11.3,75.9,-,0.2,0.1,6.56
"Tobias Sana Ajax, 29, AM(R)",173,64,2(2),223,-,-,-,-,1.3,84.2,-,-,6.53,"Tobias Sana Ajax, 29, AM(R)",173,64,2(2),223,0.8,0.8,1.5,-,0.5,0.3,0.3,-,6.53,"Tobias Sana Ajax, 29, AM(R)",173,64,2(2),223,-,-,1.3,1,0.8,0.5,0.3,0.5,0.8,6.53,"Tobias Sana Ajax, 29, AM(R)",173,64,2(2),223,-,1,19,84.2,0.5,0.3,-,6.53
"Lucas Andersen Ajax, 24, AM(CLR)",184,72,4(5),406,-,-,-,-,0.2,83.2,0.7,-,6.33,"Lucas Andersen Ajax, 24, AM(CLR)",184,72,4(5),406,0.3,0.2,0.1,-,0.1,0.4,-,-,6.33,"Lucas Andersen Ajax, 24, AM(CLR)",184,72,4(5),406,-,-,0.2,1.3,0.3,0.9,-,0.7,2,6.33,"Lucas Andersen Ajax, 24, AM(CLR)",184,72,4(5),406,-,1.3,21.9,83.2,0.1,0.6,-,6.33
