180,65,28,2404,7,11,2,0,4.4,76,0.5,6,7.82
180,65,28,2404,7,11,2,0,4.4,76,0.5,6,7.82
177,78,26,2216,7,4,3,0,1.9,83.6,1.2,3,7.73
184,75,30,2694,0,3,6,1,0.4,84.6,1.9,1,7.70
187,87,5,459,2,1,0,0,3.8,89.2,0.5,1,7.62
175,66,5,498,3,1,1,0,3,84.2,0.4,1,7.60
181,73,22,1797,9,0,4,0,3.5,80.2,0.9,3,7.49
168,67,28,2371,3,6,3,0,2.1,81.7,0.1,4,7.43
187,83,26,2158,16,6,1,0,2.9,73.3,0.9,5,7.41
179,70,33,2851,14,9,6,0,1.8,80,0.8,1,7.35
179,65,21,1791,1,5,3,0,0.5,84.7,1.1,1,7.34
187,81,32,2764,6,2,2,0,1,88.9,2.4,0,7.31
183,77,27,2456,2,2,3,1,0.7,88.1,2.6,1,7.21
171,66,7,786,2,4,3,0,1.4,82.2,0,1,7.18
180,70,1,149,1,0,0,0,1.5,87.6,0.5,0,6.99
182,79,11,1092,0,0,1,0,0.3,92.4,0.8,0,6.97
188,89,6,565,2,0,0,0,0.9,85.7,2.5,0,6.95
187,93,32,2880,0,1,2,0,0,75.1,0.2,0,6.89
190,87,1,157,0,0,1,0,0.3,92.9,3.5,0,6.85
189,90,7,621,0,2,0,0,1.6,81.5,0.6,0,6.85
180,71,5,450,0,0,0,0,0.4,85.9,1,0,6.80
194,93,8,736,0,0,2,0,0.1,86,0.8,0,6.59
179,65,2,213,0,0,0,0,1,80.2,0,0,6.55
183,74,4,540,0,2,1,0,1,87.6,0.3,0,6.54
170,58,1,227,0,0,0,0,1,87.5,0,0,6.48
177,76,0,21,0,0,0,0,1,82.4,0,0,6.40
185,83,2,180,0,0,0,0,0,64.7,0.5,0,6.35
184,74,3,236,0,0,0,0,1,90,0.2,0,6.29
184,77,1,336,2,0,0,0,1.2,80.2,0.5,0,6.27
177,66,0,24,0,0,0,0,0,89.5,0,0,6.10
